Soil_Type,Crop_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Level,Rainfall,Temperature,Recommended_Fertilizer
Loamy,Wheat,8.1,44,58,77,32.7,157,23.3,10-26-26
Chalky,Soybean,7.3,112,36,33,16.8,241,21.2,10-26-26
Silty,Sugarcane,5.2,61,56,33,18.6,248,25.3,10-26-26
Loamy,Soybean,7.8,119,21,48,13.0,204,30.5,10-26-26
Clay,Wheat,6.6,104,24,80,17.2,151,26.4,10-26-26
Loamy,Wheat,5.7,118,37,47,24.9,145,25.4,Urea
Clay,Barley,5.2,54,58,41,12.9,231,27.3,10-26-26
Chalky,Wheat,8.1,97,43,41,18.6,146,30.5,Urea
Chalky,Wheat,7.1,102,31,63,33.3,88,32.0,Urea
Loamy,Rice,6.8,58,58,39,26.4,206,33.3,10-26-26
Silty,Soybean,6.1,89,35,72,18.2,192,18.2,NPK
Chalky,Wheat,7.8,66,56,76,30.0,168,19.8,Urea
Chalky,Maize,6.8,54,23,40,21.6,198,20.0,10-26-26
Silty,Cotton,8.4,78,50,77,15.4,216,19.1,DAP
Sandy,Cotton,6.9,89,50,46,28.5,117,18.6,DAP
Peaty,Soybean,7.1,95,20,48,23.3,194,19.8,10-26-26
Silty,Barley,5.2,80,53,73,24.2,90,23.0,Compost
Clay,Sugarcane,8.3,85,47,69,30.5,246,34.7,NPK
Loamy,Maize,5.5,74,37,36,34.2,145,25.3,10-26-26
Chalky,Sugarcane,5.9,90,49,79,11.3,141,18.9,NPK
Chalky,Barley,7.3,115,32,63,21.4,166,21.9,Urea
Chalky,Barley,7.0,63,40,65,16.3,82,27.8,NPK
Clay,Soybean,5.9,48,20,56,30.6,105,32.0,10-26-26
Peaty,Rice,6.4,97,42,44,18.8,152,24.2,NPK
Loamy,Wheat,7.7,44,21,69,18.2,103,21.6,10-26-26
Clay,Sugarcane,4.8,67,58,70,21.7,111,26.2,Compost
Chalky,Rice,7.9,51,58,38,15.5,176,24.5,10-26-26
Chalky,Soybean,7.7,112,31,37,30.6,127,24.5,10-26-26
Loamy,Maize,6.3,99,24,70,17.6,196,33.9,10-26-26
Loamy,Soybean,5.0,94,40,46,33.3,121,29.6,Compost
Clay,Maize,6.6,47,44,54,10.8,165,26.1,10-26-26
Clay,Maize,6.1,73,31,58,14.0,97,29.2,Compost
Sandy,Sugarcane,8.4,90,31,71,24.1,205,30.2,NPK
Clay,Wheat,4.8,109,47,43,20.4,237,20.0,Compost
Chalky,Rice,7.0,96,36,36,33.5,88,29.3,10-26-26
Clay,Rice,4.8,113,36,79,18.9,194,27.4,Compost
Clay,Cotton,6.1,59,60,30,30.8,89,31.8,10-26-26
Chalky,Cotton,6.9,74,29,74,19.3,164,22.3,10-26-26
Silty,Sugarcane,4.9,40,52,75,18.9,205,25.0,10-26-26
Silty,Cotton,7.2,91,24,64,26.5,137,19.2,10-26-26
Clay,Cotton,6.1,101,27,66,14.5,217,20.7,10-26-26
Loamy,Maize,7.8,78,45,33,11.0,241,25.1,10-26-26
Chalky,Rice,5.2,86,54,51,32.0,100,27.5,Compost
Silty,Soybean,5.4,77,32,41,22.6,221,30.4,Compost
Clay,Cotton,8.3,64,39,74,15.5,179,33.1,Urea
Chalky,Barley,8.2,85,51,35,32.9,241,28.8,10-26-26
Silty,Barley,7.0,64,28,32,20.1,129,30.8,10-26-26
Clay,Barley,6.6,115,35,61,26.9,179,25.3,Urea
Clay,Soybean,7.4,109,39,61,30.6,216,20.5,Compost
Clay,Rice,7.8,83,23,51,23.5,90,32.4,10-26-26
Silty,Rice,6.2,67,53,59,19.5,217,33.6,DAP
Chalky,Sugarcane,5.5,69,24,32,31.1,116,26.2,10-26-26
Silty,Barley,6.6,42,50,69,17.7,91,27.7,10-26-26
Sandy,Barley,5.8,56,20,41,11.0,241,22.6,10-26-26
Clay,Maize,4.5,52,49,69,34.5,123,34.4,10-26-26
Peaty,Rice,6.1,53,27,61,28.2,232,23.9,10-26-26
Peaty,Wheat,7.2,48,32,57,30.1,166,34.1,10-26-26
Chalky,Barley,6.1,91,40,37,29.6,227,22.5,10-26-26
Peaty,Wheat,8.5,81,33,78,10.6,91,28.3,Urea
Peaty,Wheat,7.1,82,24,37,27.2,150,20.0,10-26-26
Sandy,Soybean,8.3,93,30,74,14.5,174,28.6,Vermicompost
Sandy,Cotton,5.4,71,57,32,17.7,114,27.3,10-26-26
Clay,Soybean,6.2,120,59,54,14.0,120,20.9,Urea
Silty,Rice,6.2,40,20,41,28.9,102,33.3,10-26-26
Chalky,Barley,4.8,115,38,56,19.8,201,19.7,Compost
Chalky,Wheat,4.6,66,29,70,26.5,149,28.2,10-26-26
Peaty,Cotton,5.2,92,35,41,15.8,236,18.4,Compost
Chalky,Rice,7.8,116,31,75,34.4,207,20.3,NPK
Peaty,Rice,5.4,120,39,52,31.7,187,33.7,Compost
Clay,Sugarcane,6.2,70,32,37,11.3,215,18.7,10-26-26
Clay,Sugarcane,6.8,86,54,62,19.8,136,18.5,NPK
Silty,Soybean,6.8,120,33,47,10.3,93,31.4,DAP
Clay,Soybean,5.7,59,50,61,11.0,125,28.0,10-26-26
Sandy,Barley,6.1,45,23,71,34.3,173,27.3,10-26-26
Loamy,Wheat,5.6,95,36,51,27.7,237,22.6,Urea
Silty,Rice,8.1,53,23,64,19.4,125,27.3,10-26-26
Sandy,Soybean,4.7,43,51,62,20.7,109,32.2,10-26-26
Clay,Wheat,7.7,96,57,67,15.6,163,21.8,Urea
Silty,Wheat,7.8,81,34,79,33.3,108,19.6,Urea
Loamy,Wheat,6.3,52,35,77,18.4,185,32.8,10-26-26
Sandy,Cotton,4.8,68,24,60,15.3,229,30.8,10-26-26
Silty,Rice,4.7,95,29,43,22.3,236,25.5,10-26-26
Silty,Wheat,5.8,89,43,38,19.9,197,27.0,10-26-26
Chalky,Wheat,5.1,120,42,47,24.3,131,31.7,Compost
Loamy,Wheat,7.5,44,56,33,13.8,151,20.5,10-26-26
Sandy,Rice,5.6,99,49,56,19.0,123,24.9,NPK
Loamy,Wheat,7.2,77,58,40,11.4,243,18.6,Urea
Peaty,Wheat,6.1,113,55,44,27.4,102,21.3,Urea
Silty,Soybean,7.1,106,51,43,16.5,231,33.1,Compost
Silty,Maize,8.1,41,47,77,17.4,143,21.9,10-26-26
Sandy,Maize,6.1,95,57,44,16.0,231,29.4,DAP
Sandy,Sugarcane,7.8,40,46,32,26.8,90,32.0,10-26-26
Silty,Barley,6.1,104,22,57,13.9,215,30.5,10-26-26
Silty,Cotton,5.9,52,48,61,26.8,141,22.6,10-26-26
Clay,Sugarcane,4.8,41,46,43,34.8,113,20.7,10-26-26
Loamy,Maize,8.5,70,25,31,34.4,202,31.5,10-26-26
Chalky,Maize,7.1,60,49,66,24.4,229,32.7,DAP
Clay,Cotton,5.7,99,28,75,21.7,183,28.5,10-26-26
Sandy,Soybean,6.1,87,60,59,20.7,242,23.6,Urea
Chalky,Rice,6.8,89,41,63,31.3,88,21.4,NPK
Loamy,Cotton,8.2,74,59,64,27.2,227,32.0,DAP
Sandy,Soybean,6.7,50,59,51,29.5,94,18.3,10-26-26
Peaty,Barley,7.8,86,23,37,11.0,178,33.1,10-26-26
Loamy,Cotton,8.5,119,22,53,17.4,173,21.6,10-26-26
Sandy,Barley,7.6,111,24,65,16.3,132,32.7,10-26-26
Sandy,Maize,4.9,70,54,37,13.1,246,34.6,10-26-26
Silty,Barley,7.2,114,33,78,31.2,137,23.5,Urea
Loamy,Maize,7.2,74,52,73,24.9,188,28.3,DAP
Loamy,Rice,7.2,48,43,52,24.4,195,25.3,10-26-26
Silty,Sugarcane,5.6,107,27,60,29.2,216,21.8,10-26-26
Chalky,Soybean,7.3,108,38,58,15.8,238,28.6,10-26-26
Chalky,Barley,7.5,48,32,59,15.5,102,19.0,10-26-26
Clay,Cotton,5.0,62,38,34,25.1,107,32.4,10-26-26
Sandy,Maize,4.7,54,29,61,28.4,118,23.8,10-26-26
Sandy,Sugarcane,6.4,120,21,48,33.2,186,23.6,10-26-26
Chalky,Sugarcane,6.4,56,50,52,10.3,187,19.4,10-26-26
Silty,Barley,5.5,42,38,42,10.7,96,28.7,10-26-26
Clay,Soybean,6.2,69,53,71,23.7,165,21.0,Compost
Peaty,Maize,5.7,81,51,67,26.6,250,34.4,DAP
Chalky,Sugarcane,4.7,110,48,59,32.3,157,27.8,Compost
Peaty,Wheat,6.8,79,30,80,22.5,146,19.2,Urea
Sandy,Cotton,4.9,87,38,79,25.0,92,23.8,Compost
Sandy,Maize,8.2,76,49,40,20.2,238,20.4,DAP
Sandy,Barley,7.4,108,38,41,17.3,124,26.9,Urea
Chalky,Barley,7.3,59,30,45,32.5,109,31.5,10-26-26
Clay,Maize,7.2,113,28,58,27.0,146,34.1,10-26-26
Loamy,Wheat,5.7,66,55,75,10.0,88,22.6,NPK
Loamy,Maize,5.4,58,43,58,26.5,218,28.8,10-26-26
Sandy,Sugarcane,6.9,78,27,31,10.4,183,30.4,10-26-26
Silty,Soybean,5.8,58,49,50,26.6,119,27.5,10-26-26
Clay,Barley,5.9,109,52,51,13.4,245,19.6,Urea
Chalky,Maize,7.8,100,38,78,33.0,226,29.0,NPK
Sandy,Soybean,4.9,112,48,51,20.1,108,30.4,Compost
Chalky,Cotton,7.6,45,28,73,13.0,221,18.0,10-26-26
Clay,Maize,7.3,43,45,69,18.9,136,22.3,10-26-26
Silty,Maize,4.6,51,40,33,23.5,235,32.5,10-26-26
Chalky,Wheat,8.3,114,53,44,24.1,151,26.7,Urea
Sandy,Rice,4.8,50,54,58,23.7,102,24.5,10-26-26
Peaty,Cotton,6.9,64,51,50,19.7,234,22.1,DAP
Peaty,Sugarcane,4.9,47,43,55,17.9,117,19.6,10-26-26
Chalky,Soybean,5.2,94,43,54,34.7,175,25.5,Compost
Clay,Maize,6.6,84,42,49,31.8,194,34.9,DAP
Peaty,Rice,6.8,67,48,77,30.3,186,23.6,Compost
Loamy,Wheat,5.7,94,46,38,20.1,230,29.4,10-26-26
Peaty,Rice,7.2,58,33,49,17.9,201,20.3,10-26-26
Peaty,Maize,7.0,48,57,78,13.2,176,27.8,10-26-26
Clay,Rice,7.3,92,60,47,27.5,186,30.8,NPK
Sandy,Sugarcane,8.0,99,56,78,22.5,115,30.4,NPK
Sandy,Wheat,7.0,88,38,65,14.7,205,18.4,Urea
Clay,Soybean,5.6,78,57,49,21.1,206,28.5,Vermicompost
Chalky,Cotton,7.9,68,21,80,14.9,80,20.1,10-26-26
Sandy,Maize,8.4,78,60,70,12.7,200,26.1,DAP
Clay,Barley,6.8,76,46,41,23.5,205,19.5,Urea
Chalky,Barley,4.7,71,21,37,12.6,150,28.0,10-26-26
Silty,Rice,6.7,116,43,67,15.8,203,28.8,NPK
Peaty,Cotton,7.8,73,60,73,11.0,201,26.5,DAP
Chalky,Soybean,7.3,55,43,62,16.3,227,23.2,10-26-26
Clay,Soybean,7.0,73,30,67,32.4,94,31.8,DAP
Loamy,Cotton,6.8,57,42,40,28.3,93,24.2,10-26-26
Loamy,Maize,7.1,93,60,52,21.7,92,21.2,DAP
Loamy,Maize,7.3,107,60,34,23.9,211,24.1,10-26-26
Sandy,Soybean,8.1,120,31,78,10.5,104,23.4,Vermicompost
Sandy,Sugarcane,4.7,81,40,73,29.2,157,29.9,Compost
Loamy,Barley,5.8,86,26,64,26.9,228,24.7,10-26-26
Loamy,Soybean,7.5,58,20,38,21.4,212,25.0,10-26-26
Loamy,Maize,8.2,102,46,51,16.3,121,20.0,DAP
Clay,Wheat,6.8,59,52,44,34.2,128,24.4,10-26-26
Peaty,Sugarcane,4.7,107,54,75,18.5,221,26.6,Compost
Chalky,Soybean,5.1,54,46,59,26.5,99,35.0,10-26-26
Clay,Soybean,6.3,56,21,60,18.9,169,24.8,10-26-26
Loamy,Barley,5.0,86,28,58,32.1,232,25.1,10-26-26
Peaty,Soybean,6.0,83,31,75,26.5,157,25.5,Urea
Chalky,Soybean,7.1,55,34,38,11.5,116,31.8,10-26-26
Chalky,Wheat,8.3,79,28,43,26.2,113,34.2,10-26-26
Clay,Cotton,5.1,54,24,31,21.9,203,28.2,10-26-26
Silty,Rice,6.8,65,26,32,20.0,248,23.7,10-26-26
Peaty,Sugarcane,5.0,47,50,37,19.8,144,20.8,10-26-26
Clay,Rice,7.4,78,20,78,15.2,104,19.0,10-26-26
Clay,Sugarcane,6.7,66,57,42,24.9,127,32.8,NPK
Loamy,Rice,6.8,51,29,77,18.6,151,31.7,10-26-26
Peaty,Maize,6.7,85,30,62,12.0,236,27.6,DAP
Peaty,Sugarcane,8.1,48,26,67,19.9,83,23.0,10-26-26
Peaty,Wheat,5.1,64,38,40,13.8,217,25.4,Compost
Clay,Barley,6.9,52,33,62,12.0,201,34.0,10-26-26
Loamy,Barley,7.5,115,31,58,24.7,107,32.1,Urea
Sandy,Soybean,4.8,85,44,57,21.9,134,28.7,Compost
Peaty,Wheat,7.8,92,27,78,29.6,160,22.7,10-26-26
Clay,Cotton,8.3,54,53,38,13.1,206,32.9,10-26-26
Loamy,Barley,8.4,76,55,76,14.4,90,30.3,Urea
Clay,Maize,4.7,103,27,54,20.1,152,26.8,10-26-26
Silty,Sugarcane,6.8,79,48,44,33.4,221,29.4,Compost
Loamy,Soybean,6.4,94,32,34,30.2,201,34.2,10-26-26
Chalky,Maize,4.6,62,20,73,34.6,205,19.5,10-26-26
Chalky,Rice,7.8,90,48,63,17.0,248,20.2,NPK
Chalky,Rice,6.3,55,29,55,26.1,182,24.5,10-26-26
Chalky,Sugarcane,4.7,53,30,34,25.0,173,33.3,10-26-26
Sandy,Maize,6.0,65,58,55,15.4,111,25.5,DAP
Sandy,Soybean,4.7,94,51,47,30.5,228,32.0,Compost
Peaty,Maize,6.9,91,42,60,18.8,250,31.6,DAP
Peaty,Cotton,6.7,102,52,47,30.6,117,28.7,DAP
Silty,Rice,7.6,55,36,61,25.0,207,25.0,10-26-26
Sandy,Barley,8.3,57,21,36,23.5,93,28.3,10-26-26
Clay,Cotton,5.4,43,31,54,25.6,234,27.7,10-26-26
Chalky,Maize,5.2,59,39,69,11.5,239,28.3,10-26-26
Clay,Soybean,7.6,49,53,79,23.1,206,21.9,10-26-26
Silty,Wheat,7.2,77,51,61,12.0,209,25.5,Urea
Loamy,Sugarcane,5.2,83,54,64,14.6,84,21.4,Compost
Clay,Cotton,6.0,55,44,58,11.3,160,24.8,10-26-26
Silty,Cotton,6.5,98,22,32,22.1,125,24.5,10-26-26
Peaty,Barley,7.9,78,30,61,13.6,190,26.6,Urea
Sandy,Maize,4.7,89,51,78,11.8,108,27.8,Compost
Peaty,Barley,6.8,102,55,73,32.0,218,27.5,Urea
Peaty,Cotton,8.3,100,55,40,11.2,209,19.7,DAP
Clay,Cotton,4.7,73,51,67,14.6,176,27.2,Compost
Peaty,Barley,7.1,85,38,50,11.1,95,34.1,Urea
Clay,Sugarcane,7.9,45,28,53,17.4,169,19.3,10-26-26
Chalky,Sugarcane,5.2,43,60,51,13.2,177,20.1,10-26-26
Clay,Cotton,6.6,84,42,56,16.1,169,24.1,DAP
Clay,Barley,8.5,71,35,45,27.1,245,34.1,Urea
Loamy,Sugarcane,5.1,50,24,49,19.6,109,27.4,10-26-26
Loamy,Wheat,4.8,42,54,50,10.1,89,29.4,10-26-26
Silty,Barley,7.1,94,56,62,20.3,187,26.3,Urea
Loamy,Rice,6.2,100,57,31,10.6,161,23.7,10-26-26
Silty,Sugarcane,5.2,89,40,66,12.5,105,34.3,Compost
Silty,Rice,6.9,66,41,61,28.2,208,23.4,NPK
Loamy,Wheat,6.1,118,39,53,15.9,191,19.6,Urea
Sandy,Cotton,5.2,49,54,43,29.9,153,29.5,10-26-26
Loamy,Rice,6.7,78,56,55,21.9,137,33.7,Vermicompost
Chalky,Rice,4.8,114,26,67,17.0,166,23.9,10-26-26
Loamy,Rice,7.6,112,53,60,34.8,189,22.1,NPK
Sandy,Maize,8.0,49,39,62,30.8,156,21.8,10-26-26
Silty,Barley,6.1,109,40,42,20.2,186,34.6,Urea
Silty,Maize,5.2,119,52,59,30.0,220,23.7,Compost
Sandy,Rice,7.4,120,53,41,20.5,227,27.8,NPK
Silty,Wheat,7.8,99,37,70,30.1,216,32.7,Urea
Peaty,Soybean,4.7,95,56,76,27.3,240,20.4,Compost
Clay,Sugarcane,6.2,65,43,59,23.7,117,24.8,DAP
Sandy,Barley,6.6,78,47,56,34.9,161,20.3,Urea
Clay,Barley,7.2,66,46,47,19.9,153,20.3,NPK
Sandy,Maize,5.1,116,35,55,33.7,141,33.0,Compost
Clay,Wheat,8.1,64,21,45,34.8,159,21.5,10-26-26
Silty,Cotton,5.9,111,47,57,26.7,245,26.2,DAP
Clay,Wheat,6.2,60,37,38,18.9,87,28.1,10-26-26
Loamy,Soybean,6.8,75,55,41,14.0,244,26.0,Urea
Chalky,Cotton,6.7,42,23,35,24.3,160,21.6,10-26-26
Peaty,Maize,7.5,48,46,53,10.6,248,24.0,10-26-26
Clay,Cotton,7.6,57,35,37,24.1,226,22.4,10-26-26
Chalky,Sugarcane,7.3,55,53,72,24.2,228,31.5,10-26-26
Peaty,Maize,7.4,103,25,45,25.3,233,26.3,10-26-26
Clay,Soybean,5.0,80,41,67,16.5,179,25.1,Compost
Chalky,Barley,6.9,70,47,43,22.8,116,22.9,Urea
Sandy,Wheat,4.5,75,48,56,22.4,145,22.9,Compost
Peaty,Rice,7.4,102,54,53,10.6,108,27.9,NPK
Loamy,Sugarcane,8.3,94,50,73,14.4,143,26.0,NPK
Loamy,Soybean,4.9,58,43,60,25.6,174,27.4,10-26-26
Loamy,Rice,6.1,117,22,77,23.0,249,33.2,10-26-26
Clay,Barley,5.3,70,36,65,10.6,178,32.6,Compost
Loamy,Barley,6.8,86,27,64,32.3,140,28.1,10-26-26
Silty,Cotton,7.7,41,45,46,20.7,157,30.7,10-26-26
Clay,Soybean,8.2,70,39,43,24.3,121,21.1,Compost
Chalky,Maize,5.6,92,22,47,15.0,100,22.2,10-26-26
Silty,Cotton,5.7,92,41,75,23.9,188,28.0,DAP
Clay,Soybean,6.2,60,36,62,25.4,96,19.4,10-26-26
Silty,Sugarcane,4.9,110,40,59,14.3,87,26.8,Compost
Clay,Barley,5.4,63,60,58,17.1,244,24.8,Compost
Sandy,Rice,7.7,91,32,70,10.3,158,29.0,NPK
Loamy,Sugarcane,7.2,50,27,40,30.0,143,33.9,10-26-26
Peaty,Barley,4.6,56,58,73,13.8,185,33.1,10-26-26
Loamy,Cotton,6.3,101,28,46,24.1,124,29.3,10-26-26
Chalky,Sugarcane,7.2,81,38,42,33.3,101,34.9,NPK
Silty,Maize,7.4,63,45,54,17.2,226,33.0,DAP
Sandy,Rice,4.7,42,55,71,15.8,236,33.3,10-26-26
Chalky,Wheat,5.5,51,49,42,15.5,147,20.3,10-26-26
Chalky,Soybean,7.9,61,23,55,22.5,238,29.5,10-26-26
Silty,Sugarcane,5.5,73,29,35,29.0,174,30.9,10-26-26
Sandy,Sugarcane,5.8,55,20,75,20.3,214,21.6,10-26-26
Silty,Soybean,8.4,98,51,37,26.1,137,33.9,10-26-26
Chalky,Wheat,5.7,64,37,48,29.5,206,31.0,Compost
Sandy,Cotton,7.3,66,58,43,34.1,152,24.7,DAP
Chalky,Barley,5.0,64,46,41,26.8,184,30.4,Compost
Sandy,Rice,6.8,77,36,45,15.2,238,26.6,Compost
Sandy,Maize,5.7,114,49,35,20.7,82,29.0,10-26-26
Silty,Wheat,7.5,81,45,73,15.8,134,24.9,Urea
Chalky,Cotton,5.6,94,58,46,15.0,98,31.3,DAP
Clay,Sugarcane,8.1,47,23,51,19.3,140,30.8,10-26-26
Silty,Maize,8.1,117,58,75,31.2,91,21.1,DAP
Clay,Maize,8.3,104,59,54,19.4,157,23.8,DAP
Silty,Barley,4.7,87,28,65,22.2,90,19.9,10-26-26
Peaty,Wheat,5.5,73,30,62,17.9,206,31.8,Urea
Loamy,Cotton,8.0,56,25,50,17.6,215,32.6,10-26-26
Silty,Wheat,7.9,73,27,50,29.1,91,20.5,10-26-26
Sandy,Cotton,7.3,75,43,57,33.6,152,29.6,DAP
Loamy,Sugarcane,5.8,73,53,50,22.5,191,29.0,DAP
Loamy,Barley,6.5,102,29,65,13.0,248,23.3,10-26-26
Chalky,Soybean,7.7,96,23,42,31.5,118,20.3,10-26-26
Clay,Wheat,8.3,63,22,60,18.2,146,29.3,10-26-26
Sandy,Barley,7.5,99,47,37,30.3,206,34.1,10-26-26
Clay,Cotton,5.8,85,55,61,31.5,197,20.2,DAP
Silty,Rice,7.3,58,27,52,28.5,103,29.5,10-26-26
Sandy,Soybean,5.5,76,31,40,31.8,210,20.9,10-26-26
Peaty,Barley,4.7,114,33,67,27.9,81,26.1,Compost
Peaty,Soybean,7.9,113,31,56,19.6,99,20.9,DAP
Silty,Barley,7.8,52,41,31,23.7,152,21.2,10-26-26
Chalky,Barley,7.4,55,45,53,22.8,231,28.3,10-26-26
Clay,Soybean,6.3,81,29,31,30.7,100,32.1,10-26-26
Silty,Soybean,7.3,101,49,70,12.6,148,32.3,Vermicompost
Chalky,Rice,7.2,82,22,71,27.4,239,24.2,10-26-26
Silty,Maize,8.0,112,28,43,28.1,92,19.9,10-26-26
Chalky,Maize,6.1,81,23,77,32.2,98,18.8,10-26-26
Peaty,Sugarcane,8.3,88,25,55,27.0,145,28.7,10-26-26
Sandy,Wheat,5.6,91,25,31,16.2,133,34.0,10-26-26
Sandy,Cotton,5.7,91,38,71,29.4,247,24.7,DAP
Clay,Maize,5.1,102,47,77,10.3,159,27.3,Compost
Chalky,Sugarcane,8.4,56,42,72,19.2,104,24.1,10-26-26
Loamy,Sugarcane,5.9,65,51,58,23.0,179,25.5,Compost
Loamy,Sugarcane,8.0,116,47,35,22.6,188,26.6,10-26-26
Loamy,Sugarcane,5.1,63,47,70,34.6,189,22.2,Compost
Clay,Rice,4.8,105,41,59,26.6,137,28.1,Compost
Chalky,Barley,6.2,59,51,63,20.6,241,31.3,10-26-26
Chalky,Sugarcane,5.3,50,38,59,30.5,191,29.0,10-26-26
Clay,Soybean,6.2,101,39,39,21.5,112,22.4,10-26-26
Chalky,Maize,7.5,71,53,57,22.8,155,23.5,DAP
Peaty,Rice,6.9,110,24,32,34.9,211,25.4,10-26-26
Clay,Sugarcane,8.2,94,46,36,18.6,198,18.9,10-26-26
Chalky,Barley,5.3,112,36,52,20.5,145,21.7,Compost
Peaty,Rice,4.5,104,21,37,32.9,249,32.3,10-26-26
Silty,Wheat,7.5,63,45,32,14.2,101,20.0,10-26-26
Silty,Barley,4.8,78,40,67,28.1,196,33.8,Compost
Chalky,Cotton,6.2,119,36,51,13.0,127,26.7,DAP
Sandy,Rice,5.9,117,36,73,19.4,107,28.6,NPK
Silty,Sugarcane,7.4,42,20,55,12.8,109,18.6,10-26-26
Clay,Wheat,8.5,101,49,74,15.8,183,18.9,Urea
Chalky,Barley,5.3,117,51,49,11.0,238,24.7,Compost
Peaty,Maize,7.7,90,39,35,18.5,112,25.6,10-26-26
Sandy,Rice,7.2,64,27,31,22.7,128,32.6,10-26-26
Clay,Wheat,8.0,101,29,71,10.2,141,31.2,10-26-26
Silty,Soybean,6.3,120,54,42,34.7,102,26.2,10-26-26
Silty,Wheat,8.4,100,47,31,28.9,109,22.2,10-26-26
Sandy,Wheat,6.7,96,51,60,34.8,85,32.6,Urea
Silty,Sugarcane,4.9,71,32,48,27.7,225,23.9,Compost
Silty,Rice,4.5,82,20,36,20.1,241,22.0,10-26-26
Chalky,Cotton,7.8,93,51,77,18.4,228,32.1,DAP
Peaty,Barley,4.5,110,38,32,17.7,204,22.1,10-26-26
Silty,Cotton,5.4,105,57,76,11.7,236,21.2,Compost
Chalky,Soybean,6.7,102,34,75,17.3,95,25.1,Vermicompost
Clay,Cotton,6.0,113,40,65,31.9,96,33.4,10-26-26
Chalky,Cotton,6.5,100,27,61,18.3,239,19.8,10-26-26
Chalky,Maize,8.3,97,47,31,11.5,121,23.1,10-26-26
Loamy,Barley,5.7,64,50,52,18.0,192,20.8,DAP
Peaty,Wheat,7.6,115,41,68,13.1,248,28.8,Urea
Silty,Wheat,5.0,77,44,56,11.8,247,33.5,Compost
Chalky,Maize,5.3,100,30,69,30.5,133,27.3,Compost
Loamy,Barley,4.8,51,50,38,33.9,124,22.2,10-26-26
Sandy,Wheat,7.9,117,51,36,14.2,186,32.5,10-26-26
Silty,Maize,4.6,70,33,65,22.8,92,31.1,Compost
Clay,Maize,8.2,73,42,73,32.7,120,31.9,DAP
Sandy,Soybean,8.1,104,22,34,15.0,166,22.8,10-26-26
Silty,Rice,5.7,119,34,37,19.4,223,24.7,10-26-26
Sandy,Cotton,6.7,73,41,80,14.0,170,29.8,DAP
Clay,Soybean,5.2,111,37,39,17.8,211,26.6,10-26-26
Peaty,Barley,7.7,53,23,58,28.5,197,29.0,10-26-26
Clay,Rice,5.1,118,59,80,23.7,106,19.5,Compost
Peaty,Rice,6.0,104,26,40,20.3,241,18.7,10-26-26
Clay,Soybean,5.6,66,43,40,33.9,154,34.2,NPK
Silty,Soybean,5.9,104,51,76,11.1,105,21.0,DAP
Chalky,Maize,6.1,82,28,37,33.7,131,20.4,10-26-26
Silty,Cotton,7.6,40,35,60,12.7,167,34.7,10-26-26
Loamy,Sugarcane,6.0,61,25,47,29.4,175,23.8,10-26-26
Chalky,Soybean,7.0,93,43,70,14.8,250,20.5,DAP
Sandy,Soybean,8.3,107,46,80,32.9,138,33.1,DAP
Silty,Cotton,7.0,92,49,63,30.2,172,19.2,DAP
Clay,Cotton,5.8,58,20,75,17.8,212,28.8,10-26-26
Clay,Rice,5.9,83,40,55,13.7,122,28.1,NPK
Silty,Rice,7.8,90,22,72,19.6,244,20.2,10-26-26
Sandy,Sugarcane,5.3,47,60,75,15.9,249,23.1,10-26-26
Peaty,Maize,7.1,93,45,73,25.0,221,29.8,DAP
Loamy,Barley,6.0,80,42,30,30.6,151,21.5,10-26-26
Peaty,Sugarcane,6.4,58,45,58,30.0,244,21.1,10-26-26
Sandy,Sugarcane,4.9,119,59,71,32.1,193,23.8,Compost
Chalky,Maize,7.2,91,32,49,10.6,101,29.7,Urea
Peaty,Maize,5.8,89,28,63,11.4,218,28.4,10-26-26
Loamy,Wheat,5.5,51,52,65,19.7,159,19.4,10-26-26
Peaty,Maize,5.1,60,21,31,17.4,218,19.5,10-26-26
Peaty,Maize,8.1,70,39,76,10.2,188,26.2,Vermicompost
Clay,Barley,5.0,47,43,46,17.7,240,33.7,10-26-26
Peaty,Maize,5.1,55,23,78,34.1,246,21.5,10-26-26
Clay,Cotton,7.5,78,56,77,23.7,81,33.0,DAP
Silty,Maize,6.7,70,57,66,23.4,240,21.3,DAP
Chalky,Sugarcane,5.2,116,34,52,32.9,156,23.6,Compost
Loamy,Barley,6.0,113,28,75,29.0,176,23.8,10-26-26
Peaty,Barley,8.3,71,26,50,28.4,212,28.2,10-26-26
Peaty,Wheat,8.0,86,49,36,11.2,117,22.4,10-26-26
Chalky,Cotton,6.4,92,25,35,15.7,95,30.6,10-26-26
Silty,Wheat,8.2,100,33,58,20.6,99,23.8,Urea
Loamy,Barley,8.3,107,45,67,21.1,223,26.3,Urea
Peaty,Soybean,5.9,90,36,67,32.7,207,27.7,NPK
Silty,Cotton,7.5,102,46,40,30.3,116,23.8,DAP
Peaty,Wheat,6.2,102,49,38,31.2,211,24.2,10-26-26
Peaty,Rice,7.7,67,49,60,33.5,88,28.6,NPK
Sandy,Sugarcane,7.5,87,27,68,30.1,184,32.4,10-26-26
Clay,Rice,6.1,87,56,48,11.3,90,24.8,NPK
Peaty,Wheat,7.2,55,43,49,21.3,175,30.7,10-26-26
